Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
2.1.1.133-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.137-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.138-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.139-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.140-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
2.1.1.142-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.143-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.145-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.146-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.149-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.155-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.17-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.19-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.34-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.44-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.5-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.60-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.62-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.63-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.64-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.69-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.70-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
2.1.1.71-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
2.1.1.77-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
